1.000	0.500
1.044	0.544
1.088	0.588
1.131	0.631
1.175	0.675
1.218	0.718
1.262	0.761
1.305	0.804
1.348	0.847
1.390	0.890
1.433	0.932
1.476	0.974
1.518	1.016
1.560	1.058
1.602	1.100
1.644	1.142
1.686	1.184
1.728	1.225
1.770	1.266
1.811	1.307
1.852	1.348
1.893	1.389
1.934	1.429
1.975	1.470
2.016	1.510
2.057	1.550
2.097	1.590
2.137	1.630
2.177	1.669
2.217	1.709
2.257	1.748
2.297	1.787
2.336	1.826
2.376	1.865
2.415	1.904
2.454	1.942
2.493	1.980
2.532	2.018
2.570	2.056
2.609	2.094
2.647	2.132
2.685	2.170
2.723	2.207
2.761	2.244
2.799	2.281
2.836	2.318
2.874	2.355
2.911	2.391
2.948	2.428
2.985	2.464
3.022	2.500
3.059	2.536
3.095	2.572
3.131	2.607
3.168	2.643
3.204	2.678
3.240	2.713
3.275	2.748
3.311	2.783
3.346	2.818
3.381	2.852
3.416	2.886
3.451	2.920
3.486	2.954
3.521	2.988
3.555	3.022
3.589	3.056
3.623	3.089
3.657	3.122
3.691	3.155
3.725	3.188
3.758	3.221
3.792	3.253
3.825	3.286
3.858	3.318
3.891	3.350
3.923	3.382
3.956	3.414
3.988	3.445
4.020	3.477
4.052	3.508
4.084	3.539
4.115	3.570
4.147	3.601
4.178	3.632
4.209	3.662
4.240	3.692
4.271	3.722
4.302	3.752
4.332	3.782
4.363	3.812
4.393	3.842
4.423	3.871
4.452	3.900
4.482	3.929
4.511	3.958
4.541	3.987
4.570	4.015
4.599	4.044
4.627	4.072
4.656	4.100
4.684	4.128
4.713	4.156
4.741	4.183
4.769	4.211
4.796	4.238
4.824	4.265
4.851	4.292
4.878	4.319
4.905	4.346
4.932	4.372
4.959	4.398
4.985	4.424
5.011	4.450
5.037	4.476
5.063	4.502
5.089	4.528
5.115	4.553
5.140	4.578
5.165	4.603
5.190	4.628
5.215	4.653
5.240	4.677
5.264	4.702
5.288	4.726
5.313	4.750
5.336	4.774
5.360	4.798
5.384	4.821
5.407	4.845
5.430	4.868
5.453	4.891
5.476	4.914
5.499	4.937
5.521	4.960
5.543	4.982
5.565	5.004
5.587	5.026
5.609	5.048
5.630	5.070
5.652	5.092
5.673	5.114
5.694	5.135
5.714	5.156
5.735	5.177
5.755	5.198
5.775	5.219
5.795	5.239
5.815	5.260
5.835	5.280
5.854	5.300
5.873	5.320
5.892	5.340
5.911	5.359
5.930	5.379
5.948	5.398
5.966	5.417
5.984	5.436
6.002	5.455
6.020	5.474
6.037	5.492
6.054	5.510
6.071	5.528
6.088	5.546
6.105	5.564
6.121	5.582
6.137	5.600
6.153	5.617
6.169	5.634
6.185	5.651
6.200	5.668
6.216	5.685
6.231	5.701
6.245	5.718
6.260	5.734
6.275	5.750
6.289	5.766
6.303	5.782
6.317	5.797
6.330	5.813
6.344	5.828
6.357	5.843
6.370	5.858
6.383	5.873
6.395	5.888
6.407	5.902
6.420	5.916
6.432	5.930
6.443	5.944
6.455	5.958
6.466	5.972
6.477	5.986
6.488	5.999
5.100	5.999
5.071	5.986
5.041	5.972
5.011	5.958
4.981	5.944
4.950	5.930
4.920	5.916
4.889	5.902
4.857	5.888
4.826	5.873
4.794	5.858
4.761	5.843
4.729	5.828
4.696	5.813
4.663	5.797
4.630	5.782
4.596	5.766
4.563	5.750
4.528	5.734
4.494	5.718
4.459	5.701
4.424	5.685
4.389	5.668
4.353	5.651
4.318	5.634
4.282	5.617
4.245	5.600
4.208	5.582
4.171	5.564
4.134	5.546
4.097	5.528
4.059	5.510
4.021	5.492
3.982	5.474
3.944	5.455
3.905	5.436
3.866	5.417
3.826	5.398
3.786	5.379
3.746	5.359
3.706	5.340
3.665	5.320
3.624	5.300
3.583	5.280
3.541	5.260
3.499	5.239
3.457	5.219
3.415	5.198
3.372	5.177
3.329	5.156
3.286	5.135
3.242	5.114
3.198	5.092
3.154	5.070
3.110	5.048
3.065	5.026
3.020	5.004
2.974	4.982
2.929	4.960
2.883	4.937
2.837	4.914
2.790	4.891
2.743	4.868
2.696	4.845
2.649	4.821
2.601	4.798
2.553	4.774
2.505	4.750
2.456	4.726
2.407	4.702
2.358	4.677
2.308	4.653
2.258	4.628
2.208	4.603
2.158	4.578
2.107	4.553
2.056	4.528
2.005	4.502
1.953	4.476
1.901	4.450
1.849	4.424
1.796	4.398
1.743	4.372
1.690	4.346
1.637	4.319
1.583	4.292
1.529	4.265
1.475	4.238
1.420	4.211
1.365	4.183
1.310	4.156
1.254	4.128
1.198	4.100
1.142	4.072
1.085	4.044
1.028	4.015
0.971	3.987
0.914	3.958
0.856	3.929
0.798	3.900
0.739	3.871
0.681	3.842
0.622	3.812
0.562	3.782
0.503	3.752
0.443	3.722
0.382	3.692
0.322	3.662
0.261	3.632
0.200	3.601
0.138	3.570
0.076	3.539
0.014	3.508
